Life Ladder;Log GDP per capita;Social support;Healthy life expectancy at birth;Freedom to make life choices;Generosity;Perceptions of corruption;Positive affect
0.4;0.32;0.0;0.97;0.28;0.0;0.0;0.62
0.71;0.38;0.0;0.97;0.0;0.0;0.01;0.67
0.86;0.43;0.0;0.97;0.0;0.0;0.5;0.65
0.45;0.41;0.0;0.97;0.0;0.0;0.89;0.64
0.43;0.45;0.0;0.97;0.0;0.0;0.69;0.7
0.34;0.45;0.0;0.97;0.0;0.08;0.08;0.67
0.2;0.45;0.0;0.98;0.0;0.0;0.0;0.57
0.52;0.44;0.0;0.98;0.0;0.01;0.0;0.59
0.63;0.44;0.0;0.98;0.0;0.32;0.4;0.59
0.1;0.44;0.0;0.98;0.0;0.0;0.0;0.54
0.1;0.43;0.0;0.98;0.0;0.0;0.0;0.49
0.06;0.44;0.0;0.98;0.0;0.0;0.0;0.39
0.06;0.31;0.0;0.98;0.0;0.01;0.0;0.23
0.81;0.98;0.66;1.0;0.0;0.88;0.0;0.67
1.0;1.0;0.24;1.0;0.0;0.0;0.0;0.67
0.99;1.0;0.0;1.0;0.0;0.0;0.82;0.66
0.95;1.0;0.01;1.0;0.0;0.0;0.0;0.69
1.0;1.0;0.35;1.0;0.0;0.0;0.01;0.67
0.78;1.0;0.01;0.99;0.0;0.0;0.0;0.62
0.88;1.0;0.0;0.99;0.77;0.54;0.0;0.63
0.8;1.0;0.0;0.99;0.07;0.01;0.0;0.62
0.76;1.0;0.0;0.99;0.62;0.72;0.0;0.64
0.82;1.0;0.0;0.99;1.0;0.45;0.0;0.62
0.94;0.99;0.0;0.99;0.0;0.98;0.0;0.65
0.94;0.99;0.0;0.99;0.34;0.0;0.0;0.67
1.0;0.99;0.0;0.99;0.96;1.0;0.0;0.68
0.99;0.98;0.0;0.99;0.0;0.34;0.0;0.69
0.98;0.98;0.0;0.99;0.02;0.03;0.01;0.68
1.0;0.97;0.0;0.99;0.0;0.04;0.01;0.66
0.99;1.0;0.98;1.0;0.0;0.0;0.01;0.66
0.99;1.0;0.11;1.0;0.0;0.0;0.24;0.7
0.99;1.0;1.0;1.0;0.0;0.0;0.38;0.66
0.95;1.0;0.87;1.0;0.0;0.0;0.94;0.65
0.86;1.0;0.97;1.0;0.0;1.0;0.98;0.72
1.0;1.0;0.0;1.0;0.0;0.0;0.79;0.63
0.98;1.0;0.08;1.0;0.0;0.0;0.58;0.66
1.0;1.0;0.29;1.0;0.0;0.23;0.0;0.69
1.0;0.95;0.0;0.97;0.0;0.17;0.0;0.65
0.69;0.96;0.0;0.97;0.0;0.0;0.0;0.66
0.5;0.96;0.0;0.98;0.0;0.0;0.13;0.64
0.43;0.97;0.0;0.98;0.0;0.0;0.04;0.62
0.81;0.91;0.0;1.0;0.71;0.0;0.01;0.7
0.9;0.89;0.0;1.0;0.0;0.0;0.0;0.73
0.93;0.88;0.0;1.0;0.0;0.0;0.0;0.69
0.76;0.9;0.0;1.0;0.0;0.0;0.0;0.76
0.75;0.87;0.0;1.0;0.62;0.0;0.01;0.78
0.6;0.85;0.0;1.0;0.0;0.0;0.97;0.77
0.74;0.86;0.0;1.0;1.0;0.0;0.12;0.73
0.69;0.85;0.0;1.0;0.83;0.0;0.08;0.75
0.65;0.87;0.0;1.0;0.98;0.0;0.01;0.76
0.64;0.86;0.0;1.0;0.0;0.0;0.01;0.72
0.76;0.87;0.0;1.0;0.0;0.0;0.01;0.7
0.91;0.87;0.0;1.0;0.0;0.0;0.02;0.71
0.97;0.88;0.0;1.0;0.0;0.0;0.01;0.7
0.89;0.89;0.0;1.0;0.0;0.0;0.05;0.7
0.95;0.92;0.0;1.0;0.0;0.0;0.13;0.67
0.94;0.9;0.0;1.0;0.0;0.86;0.13;0.67
0.83;0.88;0.0;1.0;0.0;0.0;0.18;0.72
0.77;0.89;0.0;1.0;0.0;0.0;0.01;0.71
0.66;0.97;0.0;1.0;0.0;0.0;0.01;0.49
0.9;0.99;0.01;1.0;0.0;0.0;0.12;0.52
0.82;1.0;0.0;1.0;0.0;0.0;0.0;0.56
0.61;0.98;0.0;1.0;0.0;0.0;0.0;0.54
0.7;0.98;0.0;1.0;0.0;0.0;0.0;0.51
0.65;0.99;0.0;1.0;0.0;0.0;0.0;0.47
0.67;1.0;0.0;1.0;0.0;0.0;0.0;0.5
0.65;1.0;0.0;1.0;0.0;0.0;0.0;0.53
0.74;1.0;0.0;1.0;0.0;0.0;0.0;0.56
0.69;1.0;0.0;1.0;0.0;0.0;0.0;0.55
0.68;1.0;0.0;1.0;0.0;0.0;0.0;0.54
0.66;1.0;0.0;1.0;0.0;0.0;0.0;0.56
0.95;0.99;0.9;1.0;0.01;0.0;0.12;0.54
1.0;0.99;0.26;1.0;0.0;0.0;0.0;0.56
0.99;0.99;0.01;1.0;0.06;0.0;0.46;0.54
1.0;0.97;0.97;1.0;0.1;0.0;0.46;0.49
0.99;0.96;0.74;0.99;0.0;0.0;0.15;0.58
0.37;0.6;0.0;0.99;0.0;0.0;0.0;0.78
0.38;0.6;0.0;0.99;0.0;0.0;0.0;0.77
0.31;0.6;0.0;0.99;0.0;0.0;0.0;0.78
0.32;0.59;0.0;0.99;0.0;0.0;0.0;0.79
0.41;0.58;0.0;0.99;0.0;0.0;0.0;0.77
0.34;0.58;0.0;0.99;0.0;0.0;0.0;0.81
0.37;0.57;0.0;0.99;0.0;0.0;0.0;0.75
0.36;0.57;0.0;0.99;0.0;0.0;0.0;0.78
0.39;0.56;0.0;0.99;0.0;0.0;0.0;0.76
